train__MAE,train__MSE,train__QLIKE,train__norm_MAE,train__norm_MSE,train__norm_QLIKE,train_loss,test__MAE,test__MSE,test__QLIKE,test__norm_MAE,test__norm_MSE,test__norm_QLIKE,test_loss,loss,lr
3.6694622410792236e-05,3.698049155882464e-08,0.33665235252586206,0.03669462147677915,0.03698049153123457,0.33665234954080847,0.33665243,3.468529223483784e-05,5.926126840553048e-09,0.368646130176526,0.034685291398564674,0.005926126929355907,0.3686461267709895,0.36864612,0.2671990990638733,1e-04
3.667495031523025e-05,3.698087054168168e-08,0.33656296862974316,0.036674949418508254,0.03698087054872411,0.3365629655852114,0.336563,3.465732110063183e-05,5.9263845421245025e-09,0.3684045086135612,0.034657320278102144,0.005926384611323937,0.3684045034052007,0.3684045,0.2852502167224884,1e-04
3.6650845042340495e-05,3.6981338348855615e-08,0.3364640483866197,0.0366508442240484,0.03698133835051409,0.33646404665776625,0.33646402,3.462426971669523e-05,5.926901079963882e-09,0.36812888057274024,0.03462426882256089,0.005926901142074616,0.3681288764653978,0.3681289,0.3976035714149475,1e-04
3.6621127854442935e-05,3.698195069910411e-08,0.3363528458288341,0.036621127076016724,0.03698195074925763,0.3363528462838331,0.33635288,3.458436947674369e-05,5.927690974238333e-09,0.3678044528595763,0.03458436864254937,0.0059276910501298245,0.36780444719755306,0.36780444,0.5797958374023438,1e-04
3.660063306215863e-05,3.698235355952576e-08,0.33626564786988056,0.03660063225812915,0.036982353581731145,0.3362656472619436,0.33626565,3.45557733031312e-05,5.928070907991611e-09,0.3675642229281958,0.0345557723976787,0.005928070993803904,0.3675642204287975,0.36756426,0.2288377732038498,1e-04
3.658281248806515e-05,3.6982707443521906e-08,0.336190490951457,0.03658281155804444,0.03698270747010032,0.3361904905225708,0.33619043,3.453086269077878e-05,5.9283971476261036e-09,0.3673551903836213,0.03453086184711417,0.00592839721640964,0.3673551861826378,0.3673552,0.26536133885383606,1e-04
3.6566708643596835e-05,3.6983041092932204e-08,0.3361175578921,0.03656670781153394,0.036983041168942854,0.33611755948258226,0.33611754,3.4507456960120046e-05,5.928562084774853e-09,0.36715282360625445,0.034507456084695305,0.005928562162879666,0.36715282093118085,0.3671528,0.17034181952476501,1e-04
3.6552682376527e-05,3.6983330504954344e-08,0.3360539150703673,0.036552681582536314,0.03698333056212697,0.33605391801397533,0.3360539,3.4486907663591106e-05,5.928686701058508e-09,0.36697450649143454,0.03448690676991872,0.005928686780528354,0.3669745020323496,0.36697447,0.43183693289756775,1e-04
3.653661437883429e-05,3.698360648339942e-08,0.3359853850281432,0.036536613409352714,0.036983606444915544,0.33598538318297533,0.33598536,3.446424276756729e-05,5.928905134805307e-09,0.36677914771729697,0.03446424199608479,0.005928905209207668,0.36677914553988733,0.36677915,0.1484987586736679,1e-04
3.6518109503096964e-05,3.698395927339356e-08,0.33591307975929463,0.03651810866672347,0.0369839593365003,0.3359130824696916,0.3359131,3.443869575434283e-05,5.929249892100414e-09,0.3665633223345624,0.03443869498262935,0.0059292500014962255,0.3665633218059845,0.36656335,0.5454972386360168,1e-04
3.649212345551289e-05,3.698451926291638e-08,0.33582143090494476,0.03649212266907301,0.036984519329231615,0.3358214339989443,0.33582148,3.440378711670702e-05,5.929881612768836e-09,0.36627400986519454,0.03440378628309017,0.005929881655728469,0.3662740041485778,0.366274,0.24558782577514648,1e-04
